table,row_count,domain,geo_grain,geo_key,distinct_geos,date_column,vintage,verdict,note
intl_oecd_mei,750,international,national,,,ingested_at,2025-12-31 20:44:03.731906 → 2026-02-09 01:37:22.324292,—,national time-series / context — not a layer
intl_oecd_tax,14222,international,national,,,ingested_at,2025-12-31 21:15:03.544245 → 2026-02-09 01:45:05.641216,—,national time-series / context — not a layer
intl_worldbank_indicators,1000,international,national,,,ingested_at,2026-02-09 01:41:49.62402 → 2026-02-09 01:41:49.848196,—,national time-series / context — not a layer
intl_worldbank_wdi,164970,international,national,,,year,1990 → 2024,—,national time-series / context — not a layer
cftc_cot_disaggregated_combined,40304,markets,national,,,year,2023 → 2025,—,national time-series / context — not a layer
cftc_cot_legacy_combined,64392,markets,national,,,year,2022 → 2025,—,national time-series / context — not a layer
cftc_cot_tff_combined,6779,markets,national,,,year,2024 → 2025,—,national time-series / context — not a layer
prediction_market_jobs,3,markets,national,,,,,—,national time-series / context — not a layer
prediction_markets,25,markets,national,,,,,—,national time-series / context — not a layer
building_permit,6047,real_estate,county,county_fips,3024,collected_at,2026-03-11 21:56:05.258238 → 2026-03-11 21:56:52.228509,✅,full county (3024)
opportunity_zone,8765,real_estate,state,state,56,collected_at,2026-02-25 02:23:34.619907 → 2026-03-05 14:54:49.251298,✅,state grain (56 states)
realestate_osm_buildings,361,real_estate,point,lat/lon,,ingested_at,2025-11-29 17:25:48.901258 → 2025-11-29 17:25:48.901258,✅,point layer (361 features)
land_use_parcel,1382,real_estate,county,county_fips,21,collected_at,2026-03-06 15:13:23.492434 → 2026-03-11 22:01:27.306258,🟡,partial county coverage (21/~3143)
realestate_redfin,-1,real_estate,state,state_code,0,ingested_at,,🟡,state grain (partial: 0)
realestate_fhfa_hpi,4344,real_estate,national,,,date,2020-01-01 → 2025-12-01,—,national time-series / context — not a layer
realestate_hud_permits,-1,real_estate,national,,,date,,—,national time-series / context — not a layer
zoning_district,3695,real_estate,national,,,collected_at,2026-03-06 15:04:52.332403 → 2026-03-11 20:52:09.309791,—,national time-series / context — not a layer
us_trade_exports_state,546095,trade,state,state_code,46,year,2019 → 2024,✅,state grain (46 states)
us_trade_exports_hs,26063,trade,national,,,year,2019 → 2024,—,national time-series / context — not a layer
us_trade_imports_hs,18952,trade,national,,,year,2019 → 2024,—,national time-series / context — not a layer
us_trade_port_trade,-1,trade,national,,,year,,—,national time-series / context — not a layer
airport,13233,transport,point,lat/lon,,collected_at,2026-03-11 22:00:23.225068 → 2026-03-11 22:00:23.761163,✅,"point layer (13,233 features)"
bts_border_crossing,45194,transport,point,lat/lon,,date,2020-01 → 2026-01,✅,"point layer (45,194 features)"
rail_line,71089,transport,state,state,48,collected_at,2026-03-11 20:25:25.296479 → 2026-03-11 20:53:43.760498,✅,state grain (48 states)
air_cargo_stats,299,transport,national,,,collected_at,2026-02-25 02:23:19.682254 → 2026-03-11 21:55:09.949025,—,national time-series / context — not a layer
bts_faf_regional,-1,transport,national,,,year,,—,national time-series / context — not a layer
container_freight_index,774,transport,national,,,collected_at,2026-02-03 16:52:07.81207 → 2026-03-11 21:55:24.18163,—,national time-series / context — not a layer
port_throughput,-1,transport,national,,,collected_at,,—,national time-series / context — not a layer
port_throughput_monthly,247,transport,national,,,collected_at,2026-02-25 02:23:43.786514 → 2026-03-11 21:56:00.229157,—,national time-series / context — not a layer
trade_gateway_stats,260,transport,national,,,collected_at,2026-02-25 02:23:18.365642 → 2026-03-11 21:55:26.084134,—,national time-series / context — not a layer
acquisition_target_scores,1,unclassified,national,,,,,—,unclassified — review manually
agentic_collection_jobs,3,unclassified,national,,,,,—,unclassified — review manually
alert_subscriptions,1,unclassified,national,,,,,—,unclassified — review manually
anomalies,-1,unclassified,national,,,,,—,unclassified — review manually
anomaly_scans,4,unclassified,national,,,,,—,unclassified — review manually
api_usage,6,unclassified,national,,,,,—,unclassified — review manually
app_store_apps,1,unclassified,national,,,,,—,unclassified — review manually
app_store_rankings,-1,unclassified,national,,,,,—,unclassified — review manually
app_store_rating_history,1,unclassified,national,,,,,—,unclassified — review manually
baselines,-1,unclassified,national,,,,,—,unclassified — review manually
batch_runs,-1,unclassified,national,,,,,—,unclassified — review manually
batch_source_tier_overrides,-1,unclassified,national,,,,,—,unclassified — review manually
batch_tier_config,-1,unclassified,national,,,,,—,unclassified — review manually
board_interlocks,-1,unclassified,national,,,,,—,unclassified — review manually
board_seats,-1,unclassified,national,,,,,—,unclassified — review manually
canonical_entities,4,unclassified,national,,,,,—,unclassified — review manually
carrier_safety,50,unclassified,national,,,collected_at,2026-02-03 16:52:05.940273 → 2026-03-11 22:01:23.328429,—,unclassified — review manually
cascade_results,-1,unclassified,national,,,,,—,unclassified — review manually
cascade_scenarios,-1,unclassified,national,,,,,—,unclassified — review manually
causal_edges,-1,unclassified,national,,,,,—,unclassified — review manually
census_bfs,74,unclassified,state,state_fips,1,ingested_at,2026-03-31 18:41:49.232196 → 2026-03-31 18:41:49.232196,—,unclassified — review manually
census_variable_metadata,196,unclassified,national,,,,,—,unclassified — review manually
climate_data,-1,unclassified,point,lat/lon,,collected_at,,—,unclassified — review manually
co_investments,-1,unclassified,national,,,,,—,unclassified — review manually
collection_groups,-1,unclassified,national,,,,,—,unclassified — review manually
collection_watermarks,35,unclassified,national,,,,,—,unclassified — review manually
commute_flow,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
company_app_portfolios,1,unclassified,national,,,,,—,unclassified — review manually
company_ats_config,233,unclassified,national,,,,,—,unclassified — review manually
company_enrichment,4,unclassified,national,,,,,—,unclassified — review manually
company_health_scores,4,unclassified,national,,,,,—,unclassified — review manually
company_macro_linkages,-1,unclassified,national,,,,,—,unclassified — review manually
company_scores,8,unclassified,national,,,,,—,unclassified — review manually
company_web_traffic,3,unclassified,national,,,fetched_at,2026-02-23 20:01:59.996086 → 2026-02-23 20:03:44.366511,—,unclassified — review manually
competitive_analyses,2,unclassified,national,,,,,—,unclassified — review manually
competitive_movements,-1,unclassified,national,,,,,—,unclassified — review manually
convergence_clusters,-1,unclassified,national,,,,,—,unclassified — review manually
convergence_regions,-1,unclassified,national,,,,,—,unclassified — review manually
convergence_signals,86,unclassified,national,,,,,—,unclassified — review manually
courtlistener_dockets,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
data_commons_observations,42468,unclassified,national,,,ingested_at,2026-02-09 01:25:50.865488 → 2026-02-13 22:28:41.352668,—,unclassified — review manually
data_gaps,-1,unclassified,national,,,,,—,unclassified — review manually
data_provenance,-1,unclassified,national,,,,,—,unclassified — review manually
datacenter_site_pipeline,-1,unclassified,county,county_fips,1,,,—,unclassified — review manually
deal_activities,1,unclassified,national,,,,,—,unclassified — review manually
deal_predictions,2,unclassified,national,,,,,—,unclassified — review manually
deal_scenarios,-1,unclassified,national,,,,,—,unclassified — review manually
deals,12,unclassified,national,,,,,—,unclassified — review manually
deep_research_jobs,3,unclassified,national,,,,,—,unclassified — review manually
diligence_cache,1,unclassified,national,,,,,—,unclassified — review manually
diligence_jobs,4,unclassified,national,,,,,—,unclassified — review manually
diligence_templates,3,unclassified,national,,,,,—,unclassified — review manually
dot_infra_grants,336,unclassified,national,,,fiscal_year,2021 → 2026,—,unclassified — review manually
econ_data_revisions,-1,unclassified,national,,,,,—,unclassified — review manually
educational_attainment,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
enrichment_jobs,5,unclassified,national,,,,,—,unclassified — review manually
entity_aliases,6,unclassified,national,,,,,—,unclassified — review manually
entity_merge_history,7,unclassified,national,,,,,—,unclassified — review manually
epoch_datacenter,23,unclassified,point,lat/lon,,collected_at,2026-03-11 21:55:21.384058 → 2026-03-11 21:55:21.481384,—,unclassified — review manually
eval_cases,-1,unclassified,national,,,,,—,unclassified — review manually
eval_results,-1,unclassified,national,,,,,—,unclassified — review manually
eval_runs,-1,unclassified,national,,,,,—,unclassified — review manually
eval_suites,-1,unclassified,national,,,,,—,unclassified — review manually
exit_readiness_scores,1,unclassified,national,,,,,—,unclassified — review manually
fault_line,21,unclassified,national,,,collected_at,2026-02-15 23:30:41.734115 → 2026-03-11 22:01:03.165617,—,unclassified — review manually
fbi_crime_estimates_national,-1,unclassified,state,state_abbr,0,year,,—,unclassified — review manually
fbi_crime_estimates_state,-1,unclassified,state,state_abbr,0,year,,—,unclassified — review manually
fbi_crime_hate_crime_national,-1,unclassified,state,state_abbr,0,ingested_at,,—,unclassified — review manually
fbi_crime_leoka_national,-1,unclassified,state,state_abbr,0,ingested_at,,—,unclassified — review manually
fbi_crime_nibrs_state,-1,unclassified,state,state_abbr,0,ingested_at,,—,unclassified — review manually
fbi_crime_summarized_agency,-1,unclassified,state,state_abbr,0,year,,—,unclassified — review manually
ferc_energy_filings,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
foot_traffic_collection_jobs,3,unclassified,national,,,,,—,unclassified — review manually
foot_traffic_observations,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
foreign_trade_zone,105,unclassified,point,lat/lon,,collected_at,2026-03-11 21:54:39.828685 → 2026-03-11 21:54:39.84318,—,unclassified — review manually
form_adv_advisers,10,unclassified,national,,,,,—,unclassified — review manually
form_d_filings,-1,unclassified,national,,,,,—,unclassified — review manually
freight_corridor,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
freight_rate_index,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
generated_reports,8,unclassified,national,,,,,—,unclassified — review manually
github_activity_snapshots,-1,unclassified,national,,,,,—,unclassified — review manually
github_contributors,-1,unclassified,national,,,,,—,unclassified — review manually
github_organizations,4,unclassified,national,,,,,—,unclassified — review manually
github_repositories,305,unclassified,national,,,,,—,unclassified — review manually
glassdoor_companies,2,unclassified,national,,,,,—,unclassified — review manually
glassdoor_review_summaries,-1,unclassified,national,,,,,—,unclassified — review manually
glassdoor_salaries,2,unclassified,national,,,,,—,unclassified — review manually
google_trends,-1,unclassified,national,,,date,,—,unclassified — review manually
heavy_haul_route,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
hiring_velocity_scores,26,unclassified,national,,,,,—,unclassified — review manually
hunt_jobs,1,unclassified,national,,,,,—,unclassified — review manually
impact_analysis,-1,unclassified,national,,,,,—,unclassified — review manually
incentive_deal,76,unclassified,state,state,25,year,2005 → 2023,—,unclassified — review manually
incentive_program,50,unclassified,national,,,collected_at,2026-03-11 21:54:43.401701 → 2026-03-11 21:54:43.401874,—,unclassified — review manually
industrial_site,41,unclassified,point,lat/lon,,collected_at,2026-03-07 21:42:46.191536 → 2026-03-11 21:54:43.960105,—,unclassified — review manually
industry_employment,832,unclassified,national,,,collected_at,2026-03-07 23:28:28.46257 → 2026-03-11 22:01:31.02746,—,unclassified — review manually
insider_transactions,-1,unclassified,national,,,,,—,unclassified — review manually
interconnection_queue,-1,unclassified,point,lat/lon,,collected_at,,—,unclassified — review manually
intermodal_terminal,15,unclassified,point,lat/lon,,collected_at,2026-03-11 21:59:25.366932 → 2026-03-11 21:59:25.367349,—,unclassified — review manually
internet_exchange,214,unclassified,point,lat/lon,,collected_at,2026-02-02 19:37:59.250158 → 2026-03-07 23:40:20.760021,—,unclassified — review manually
investor_aum_history,-1,unclassified,national,,,,,—,unclassified — review manually
investor_contacts,-1,unclassified,national,,,,,—,unclassified — review manually
investor_preferences,1,unclassified,national,,,,,—,unclassified — review manually
investor_themes,-1,unclassified,national,,,,,—,unclassified — review manually
labor_market_area,51,unclassified,national,,,collected_at,2026-02-26 17:52:32.683782 → 2026-03-05 14:54:33.219184,—,unclassified — review manually
leadership_changes,-1,unclassified,national,,,,,—,unclassified — review manually
lineage_edges,1,unclassified,national,,,,,—,unclassified — review manually
lineage_events,-1,unclassified,national,,,,,—,unclassified — review manually
lineage_nodes,2,unclassified,national,,,,,—,unclassified — review manually
location_metadata,-1,unclassified,national,,,,,—,unclassified — review manually
locations,-1,unclassified,point,lat/lon,,,,—,unclassified — review manually
macro_chat_messages,-1,unclassified,national,,,,,—,unclassified — review manually
macro_nodes,-1,unclassified,national,,,,,—,unclassified — review manually
market_alerts,-1,unclassified,national,,,,,—,unclassified — review manually
market_briefs,2,unclassified,national,,,,,—,unclassified — review manually
market_categories,-1,unclassified,national,,,,,—,unclassified — review manually
market_scans,4,unclassified,national,,,,,—,unclassified — review manually
market_signals,-1,unclassified,national,,,,,—,unclassified — review manually
metro_profiles,-1,unclassified,national,,,,,—,unclassified — review manually
metro_reference,-1,unclassified,state,state_abbr,0,,,—,unclassified — review manually
motor_carrier,10,unclassified,national,,,collected_at,2026-03-11 22:00:11.826578 → 2026-03-11 22:00:11.826783,—,unclassified — review manually
natural_gas_pipeline,8,unclassified,point,lat/lon,,collected_at,2026-02-03 20:12:57.347525 → 2026-02-03 20:12:57.347555,—,unclassified — review manually
natural_gas_storage,7,unclassified,point,lat/lon,,collected_at,2026-02-03 20:12:57.399579 → 2026-02-03 20:12:57.399607,—,unclassified — review manually
network_latency,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
news_digests,1,unclassified,national,,,,,—,unclassified — review manually
news_items,398,unclassified,national,,,fetched_at,2026-01-16 18:46:48.079669 → 2026-01-16 18:46:49.438798,—,unclassified — review manually
news_matches,-1,unclassified,national,,,,,—,unclassified — review manually
news_watch_items,2,unclassified,national,,,,,—,unclassified — review manually
nightly_batch,5,unclassified,national,,,,,—,unclassified — review manually
occupational_wage,458,unclassified,national,,,collected_at,2026-02-26 17:52:34.910748 → 2026-03-05 14:54:35.449136,—,unclassified — review manually
osha_inspections,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
password_reset_tokens,-1,unclassified,national,,,,,—,unclassified — review manually
people_collection_jobs,1990,unclassified,national,,,,,—,unclassified — review manually
people_education,-1,unclassified,national,,,,,—,unclassified — review manually
people_experience,-1,unclassified,national,,,,,—,unclassified — review manually
people_merge_candidates,195,unclassified,national,,,,,—,unclassified — review manually
people_peer_set_members,-1,unclassified,national,,,,,—,unclassified — review manually
people_peer_sets,1,unclassified,national,,,,,—,unclassified — review manually
people_portfolio_companies,-1,unclassified,national,,,,,—,unclassified — review manually
people_portfolios,2,unclassified,national,,,,,—,unclassified — review manually
people_watchlist_people,-1,unclassified,national,,,,,—,unclassified — review manually
people_watchlists,1,unclassified,national,,,,,—,unclassified — review manually
person_pedigree_scores,-1,unclassified,national,,,,,—,unclassified — review manually
port,150,unclassified,point,lat/lon,,collected_at,2026-03-11 21:55:16.125753 → 2026-03-11 21:55:16.141735,—,unclassified — review manually
portfolio_alerts,-1,unclassified,national,,,,,—,unclassified — review manually
portfolio_companies,5409,unclassified,national,,,,,—,unclassified — review manually
portfolio_imports,3,unclassified,national,,,,,—,unclassified — review manually
portfolio_snapshots,-1,unclassified,national,,,,,—,unclassified — review manually
refresh_tokens,2,unclassified,national,,,,,—,unclassified — review manually
report_templates,-1,unclassified,national,,,,,—,unclassified — review manually
research_cache,6,unclassified,national,,,,,—,unclassified — review manually
research_jobs,24,unclassified,national,,,,,—,unclassified — review manually
saved_searches,1,unclassified,national,,,,,—,unclassified — review manually
sector_signal_weights,-1,unclassified,national,,,,,—,unclassified — review manually
seismic_hazard,538,unclassified,point,lat/lon,,collected_at,2026-02-15 23:30:41.354772 → 2026-03-11 22:01:02.150104,—,unclassified — review manually
source_api_keys,-1,unclassified,national,,,,,—,unclassified — review manually
source_configs,-1,unclassified,national,,,,,—,unclassified — review manually
source_freshness_sla,-1,unclassified,national,,,,,—,unclassified — review manually
source_rate_limits,23,unclassified,national,,,,,—,unclassified — review manually
source_reliability,-1,unclassified,national,,,,,—,unclassified — review manually
submarine_cable_landing,-1,unclassified,point,lat/lon,,collected_at,,—,unclassified — review manually
template_executions,2,unclassified,national,,,,,—,unclassified — review manually
three_pl_company,107,unclassified,national,,,collected_at,2026-02-24 02:23:45.07443 → 2026-03-11 21:56:03.779042,—,unclassified — review manually
trucking_lane_rate,-1,unclassified,national,,,collected_at,,—,unclassified — review manually
txn_prob_alerts,-1,unclassified,national,,,,,—,unclassified — review manually
txn_prob_calibrations,-1,unclassified,national,,,,,—,unclassified — review manually
txn_prob_companies,-1,unclassified,national,,,,,—,unclassified — review manually
txn_prob_outcomes,-1,unclassified,national,,,,,—,unclassified — review manually
